pid,lot_frontage,lot_area,lot_config,neighborhood,overall_qu,overall_cond,year_blt,exterior_1st,mas_vnr_type,exter_qu,foundation,bsmt_qu,bsmt_exposure,bsmt_unf_sf,total_bsmt_sf,heating_qu,2nd_flr_sf,gr_liv_area,full_bath,half_bath,bedroom_abvgr,kitchen_qu,fireplaces,fireplace_qu,garage_area,wood_deck_sf,mo_sold,year_sold,saleprice
526301100,141.0,31770,Corner,NAmes,6,5,1960,BrkFace,Stone,1,CBlock,3,4,441.0,1080.0,1,0,1656,1,0,3,2,2,4,528.0,210,5,2010,215000
526350040,80.0,11622,Inside,NAmes,5,6,1961,VinylSd,NONE,1,CBlock,3,1,270.0,882.0,2,0,896,1,0,2,2,0,0,730.0,140,6,2010,105000
526351010,81.0,14267,Corner,NAmes,6,6,1958,Wd Sdng,BrkFace,1,CBlock,3,1,406.0,1329.0,2,0,1329,1,1,3,3,0,0,312.0,393,6,2010,172000
526353030,93.0,11160,Corner,NAmes,7,5,1968,BrkFace,NONE,2,CBlock,3,1,1045.0,2110.0,4,0,2110,2,1,3,4,2,3,522.0,0,4,2010,244000
527105010,74.0,13830,Inside,Gilbert,5,5,1997,VinylSd,NONE,1,PConc,4,1,137.0,928.0,3,701,1629,2,1,3,2,1,3,482.0,212,3,2010,189900
527105030,78.0,9978,Inside,Gilbert,6,6,1998,VinylSd,BrkFace,1,PConc,3,1,324.0,926.0,4,678,1604,2,1,3,3,1,4,470.0,360,6,2010,195500
527127150,41.0,4920,Inside,StoneBr,8,5,2001,CemntBd,NONE,2,PConc,4,2,722.0,1338.0,4,0,1338,2,0,2,3,0,0,582.0,0,4,2010,213500
527145080,43.0,5005,Inside,StoneBr,8,5,1992,HdBoard,NONE,2,PConc,4,1,1017.0,1280.0,4,0,1280,2,0,2,3,0,0,506.0,0,1,2010,191500
527146030,39.0,5389,Inside,StoneBr,8,5,1995,CemntBd,NONE,2,PConc,4,1,415.0,1595.0,4,0,1616,2,0,2,3,1,3,608.0,237,3,2010,236500
527162130,60.0,7500,Inside,Gilbert,7,5,1999,VinylSd,NONE,1,PConc,3,1,994.0,994.0,3,776,1804,2,1,3,3,1,3,442.0,140,6,2010,189000
527163010,75.0,10000,Corner,Gilbert,6,5,1993,HdBoard,NONE,1,PConc,4,1,763.0,763.0,3,892,1655,2,1,3,2,1,3,440.0,157,4,2010,175900
527165230,,7980,Inside,Gilbert,6,7,1992,HdBoard,NONE,1,PConc,4,1,233.0,1168.0,4,0,1187,2,0,3,2,0,0,420.0,483,3,2010,185000
527166040,63.0,8402,Inside,Gilbert,6,5,1998,VinylSd,NONE,1,PConc,4,1,789.0,789.0,3,676,1465,2,1,3,2,1,4,393.0,0,5,2010,180400
527180040,85.0,10176,Inside,Gilbert,7,5,1990,HdBoard,NONE,1,PConc,4,4,663.0,1300.0,3,0,1341,1,1,2,3,1,1,506.0,192,2,2010,171500
527182190,,6820,Corner,StoneBr,8,5,1985,HdBoard,NONE,2,PConc,4,3,0.0,1488.0,2,0,1502,1,1,1,3,0,0,528.0,0,6,2010,212000
527216070,47.0,53504,CulDSac,StoneBr,8,5,2003,CemntBd,BrkFace,3,PConc,4,4,234.0,1650.0,4,1589,3279,3,1,4,4,1,4,841.0,503,6,2010,538000
527225035,152.0,12134,Inside,Gilbert,8,7,1988,Wd Sdng,NONE,2,Wood,4,3,132.0,559.0,3,672,1752,2,0,4,2,0,0,492.0,325,6,2010,164000
527258010,88.0,11394,Corner,StoneBr,9,2,2010,VinylSd,Stone,2,PConc,5,3,411.0,1856.0,4,0,1856,1,1,1,4,1,5,834.0,113,6,2010,394432
527276150,140.0,19138,Corner,Gilbert,4,5,1951,VinylSd,NONE,1,CBlock,3,1,744.0,864.0,4,0,864,1,0,2,2,0,0,400.0,0,6,2010,141000
